order,round,pool,type,theme,prompt,answer,imageUrl,imageUrlB,optionA,optionB,optionC,optionD,durationSeconds,blurLevel
1,round1,team-1,truefalse,Design graphique,Le logo Nike a été dessiné pour seulement 35 dollars.,Vrai,,,Vrai,Faux,,,0,14
2,round1,team-1,truefalse,Typographie,La typographie Comic Sans a été créée pour Microsoft Excel.,Faux,,,Vrai,Faux,,,0,14
3,round1,team-1,truefalse,Format,Le format A4 appartient à une norme allemande.,Vrai,,,Vrai,Faux,,,0,14
4,round1,team-1,truefalse,Histoire de l’art,Vincent van Gogh n’a vendu qu’un seul tableau de son vivant.,Vrai,,,Vrai,Faux,,,0,14
5,round1,team-1,truefalse,Histoire de l’art,La Joconde possède des sourcils.,Faux,,,Vrai,Faux,,,0,14
6,round1,team-2,truefalse,Pop culture,Le cri des Pokémon dans les premiers jeux était enregistré avec de vrais animaux.,Faux,,,Vrai,Faux,,,0,14
7,round1,team-2,truefalse,Logiciels,Figma a été créé avant Adobe XD.,Vrai,,,Vrai,Faux,,,0,14
8,round1,team-2,truefalse,Format,Le SVG est un format vectoriel.,Vrai,,,Vrai,Faux,,,0,14
9,round1,team-2,truefalse,Logo,Le logo d’Adobe représente la signature de son fondateur.,Faux,,,Vrai,Faux,,,0,14
10,round1,team-2,truefalse,Culture numérique,Le premier emoji a été créé en France.,Faux,,,Vrai,Faux,,,0,14
11,round1,team-3,truefalse,Couleur,Le CMJN contient une encre verte.,Faux,,,Vrai,Faux,,,0,14
12,round1,team-3,truefalse,Histoire de l’art,La Joconde a déjà été volée du Louvre.,Vrai,,,Vrai,Faux,,,0,14
13,round1,team-3,truefalse,Logo,Les trois lignes du logo Spotify sont droites.,Faux,,,Vrai,Faux,,,0,14
14,round1,team-3,truefalse,Design génératif,La campagne Nutella aux packagings tous différents a utilisé une génération algorithmique pour créer des millions de visuels uniques.,Vrai,,,Vrai,Faux,,,0,14
15,round1,team-3,truefalse,Histoire de l’art,Le Cri d’Edvard Munch appartient à l’impressionnisme.,Faux,,,Vrai,Faux,,,0,14
16,round1,team-4,truefalse,Typographie,La typographie Times New Roman possède des empattements.,Vrai,,,Vrai,Faux,,,0,14
17,round1,team-4,truefalse,Plateforme,Netflix possède plusieurs miniatures différentes pour un même film selon les utilisateurs.,Vrai,,,Vrai,Faux,,,0,14
18,round1,team-4,truefalse,Histoire du design,Le mouvement Bauhaus a été interdit par le régime nazi en 1933.,Vrai,,,Vrai,Faux,,,0,14
19,round1,team-4,truefalse,Typographie,Helvetica a été créée en Suisse dans les années 50 pour remplacer Akzidenz-Grotesk.,Vrai,,,Vrai,Faux,,,0,14
20,round1,team-4,truefalse,Interface,Instagram utilisait initialement une typographie serif pour son interface principale.,Faux,,,Vrai,Faux,,,0,14
